title,city,education,experience,company,company_size,company_type,salary_text,skills,description,publish_date,link,salary_min,salary_max,salary_avg,skill_list,skill_count
Python开发工程师,北京,大专,1-3年,云创软件有限公司,少于50人,民营,面议,"linux, 爬虫, django, python, docker",Python开发工程师岗位：参与数据平台建设，保障数据质量与时效性。核心技能：linux、爬虫、django、python、docker。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-08-04,https://job.example.com/42_00000,,,,"['linux', '爬虫', 'django', 'python', 'docker']",5
ETL工程师,北京,硕士,在校/应届,锐数科技有限公司,50-150人,合资,14-20K·16薪,"linux, python, 数据仓库, spark, sql",ETL工程师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：linux、python、数据仓库、spark、sql。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-14,https://job.example.com/42_00001,14.0,20.0,17.0,"['linux', 'python', '数据仓库', 'spark', 'sql']",5
Python开发工程师,上海,硕士,经验不限,锐途软件有限公司,少于50人,上市公司,16-22K·15薪,"docker, 爬虫, flask, django, python",Python开发工程师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：docker、爬虫、flask、django、python。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-09,https://job.example.com/42_00002,16.0,22.0,19.0,"['docker', '爬虫', 'flask', 'django', 'python']",5
数据分析师,深圳,不限,1-3年,海脉网络有限公司,50-150人,外资,14-18K·14薪,"python, sql, 统计学, numpy, excel",数据分析师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：python、sql、统计学、numpy、excel。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-08-21,https://job.example.com/42_00003,14.0,18.0,16.0,"['python', 'sql', '统计学', 'numpy', 'excel']",5
数据挖掘工程师,深圳,本科,1-3年,智脉科技有限公司,50-150人,民营,1.7-2.4万/月,"sql, 数据挖掘, pandas, 机器学习, 统计学",数据挖掘工程师岗位：负责核心算法的调研、实现与线上效果优化。核心技能：sql、数据挖掘、pandas、机器学习、统计学。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-09,https://job.example.com/42_00004,17.0,24.0,20.5,"['sql', '数据挖掘', 'pandas', '机器学习', '统计学']",5
机器学习工程师,成都,本科,3-5年,星图智能有限公司,2000人以上,外资,1.6-2.5万/月,"tensorflow, nlp, pytorch, python, 机器学习",机器学习工程师岗位：参与数据模型设计与报表开发，支持业务决策。核心技能：tensorflow、nlp、pytorch、python、机器学习。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-17,https://job.example.com/42_00005,16.0,25.0,20.5,"['tensorflow', 'nlp', 'pytorch', 'python', '机器学习']",5
机器学习工程师,广州,硕士,1-3年,锐途软件有限公司,500-2000人,上市公司,1.7-2.0万/月,"python, nlp, pytorch, tensorflow, 深度学习",机器学习工程师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：python、nlp、pytorch、tensorflow、深度学习。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-08-27,https://job.example.com/42_00006,17.0,20.0,18.5,"['python', 'nlp', 'pytorch', 'tensorflow', '深度学习']",5
Python开发工程师,杭州,不限,3-5年,云图网络有限公司,2000人以上,国企,14-21K·16薪,"docker, python, 爬虫, sql, django",Python开发工程师岗位：与产品和运营协作，输出数据专题分析报告。核心技能：docker、python、爬虫、sql、django。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-08-21,https://job.example.com/42_00007,14.0,21.0,17.5,"['docker', 'python', '爬虫', 'sql', 'django']",5
数据运营,深圳,本科,1-3年,云途网络有限公司,150-500人,国企,面议,"sql, 数据分析, excel, 数据可视化, python",数据运营岗位：与产品和运营协作，输出数据专题分析报告。核心技能：sql、数据分析、excel、数据可视化、python。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-11,https://job.example.com/42_00008,,,,"['sql', '数据分析', 'excel', '数据可视化', 'python']",5
数据产品经理,上海,不限,3-5年,锐脉智能有限公司,500-2000人,国企,1.5-2.2万/月,"需求分析, excel, 产品设计, sql, 数据可视化",数据产品经理岗位：负责核心算法的调研、实现与线上效果优化。核心技能：需求分析、excel、产品设计、sql、数据可视化。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-07-22,https://job.example.com/42_00009,15.0,22.0,18.5,"['需求分析', 'excel', '产品设计', 'sql', '数据可视化']",5
算法工程师,南京,硕士,1-3年,锐创数据有限公司,2000人以上,国企,面议,"python, 算法, nlp, 数据结构, 推荐系统",算法工程师岗位：负责业务数据的采集、清洗与指标体系搭建。核心技能：python、算法、nlp、数据结构、推荐系统。要求具备扎实的编程基础与数据敏感度，熟悉主流工具链，有良好的团队协作与文档习惯。,2026-06-30,https://job.example.com/42_00010,,,,"['python', '算法', 'nlp', '数据结构', '推荐系统']",5
